,Address,State,City,Zip_Code,latitude,longitude,Costco_Hearing_Center
78,340 LAKEWOOD CENTER MALL,CA,LAKEWOOD,90712-2409,33.85045,-118.141779,Yes
79,11428 SHERMAN WAY,CA,NORTH HOLLYWOOD,91605-5807,34.201185,-118.380211,No
80,13550 PAXTON ST,CA,PACOIMA,91331-2352,34.27248,-118.42784,Yes
81,2200 E WILLOW ST,CA,SIGNAL HILL,90755-2132,33.80436,-118.16547,Yes
82,3800 ROSEDALE HWY,CA,BAKERSFIELD,93308-6235,35.383357,-119.046601,Yes
83,2270 CLOVIS AVE,CA,CLOVIS,93612,36.806053,-119.700918,Yes
84,6100 SEPULVEDA BLVD,CA,VAN NUYS,91411-2503,34.1818,-118.4643,Yes
85,4900 PANAMA LN,CA,BAKERSFIELD,93313-3479,35.2959,-119.05669,Yes
86,3560 W CENTURY BLVD,CA,INGLEWOOD,90303-1201,33.945467,-118.334508,Yes
87,8810 TAMPA AVE,CA,NORTHRIDGE,91324-3519,34.230137,-118.553546,Yes
88,7100 N ABBY ST,CA,FRESNO,93720-2920,36.84222,-119.78875,Yes
89,14501 HINDRY AVENUE,CA,HAWTHORNE,90250-6748,33.899,-118.3729,Yes
90,2640 LOMITA BLVD,CA,TORRANCE,90505-5214,33.807559,-118.331744,Yes
91,2395 E LACEY BLVD,CA,HANFORD,93230-4740,36.3259849,-119.6069726,Yes
92,13463 WASHINGTON BLVD,CA,MARINA DEL REY,90292-5658,33.991127,-118.446494,Yes
93,21800 VICTORY BLVD,CA,WOODLAND HILLS,91367-2227,34.187371,-118.603486,Yes
94,4500 W SHAW AVE,CA,FRESNO,93722-6200,36.8092,-119.8736,Yes
95,2660 PARK CENTER DR,CA,SIMI VALLEY,93065-6207,34.282956,-118.79738,Yes
96,5700 LINDERO CANYON RD,CA,WESTLAKE VILLAGE,91362-4063,34.1527,-118.797152,Yes
97,1445 R ST,CA,MERCED,95340-5850,37.301896,-120.494021,Yes
98,2001 E VENTURA BLVD,CA,OXNARD,93036-1813,34.2237,-119.15018,Yes
99,1800 CAVITT DR,CA,FOLSOM,95630-6235,38.64604,-121.11105,Yes
100,2955 N TEGNER RD,CA,TURLOCK,95380-9401,37.520322,-120.887638,Yes
101,6750 STANFORD RANCH RD,CA,ROSEVILLE,95678-1907,38.7818,-121.26572,Yes
102,11260 WHITE ROCK RD,CA,RANCHO CORDOVA,95742-6571,38.589992,-121.263768,Yes
103,7000 AUBURN BLVD,CA,CITRUS HEIGHTS,95621-4342,38.692449,-121.296761,Yes
104,3801 PELANDALE AVE,CA,MODESTO,95356-8300,37.70012,-121.06609,Yes
105,2680 REYNOLDS RANCH PKWY,CA,LODI,95240-6848,38.099813,-121.266331,Yes
106,7981 E STOCKTON BLVD,CA,SACRAMENTO,95823-9606,38.467519,-121.415378,Yes
107,1616 E HAMMER LN,CA,STOCKTON,95210-4119,38.020832,-121.292427,Yes
108,1600 EXPO PKWY,CA,SACRAMENTO,95815-4228,38.5975,-121.4525,Yes
109,7400 ELK GROVE BLVD,CA,ELK GROVE,95757-6299,38.4087315,-121.4095122,Yes
110,2440 DANIELS ST,CA,MANTECA,95337-6745,37.786333,-121.256003,Yes
111,7095 MARKET PLACE DR,CA,GOLETA,93117-5905,34.42802,-119.87348,Yes
112,2100 DR MLK JR PKWY,CA,CHICO,95928-4422,39.723047,-121.810109,Yes
113,2299 BRONZE STAR DR,CA,WOODLAND,95776-5409,38.673269,-121.723721,Yes
114,3250 W GRANT LINE RD,CA,TRACY,95304-8427,37.75405,-121.475661,Yes
115,1700 S. BRADLEY RD.,CA,SANTA MARIA,93454-8001,34.924557,-120.419403,Yes
116,1540 FROOM RANCH WAY,CA,SAN LUIS OBISPO,93405-7211,35.25182,-120.688876,Yes
117,4805 BECHELLI LANE,CA,REDDING,96002,,,Yes
118,1300 DANA DR,CA,REDDING,96003-4071,40.58575,-122.34735,Yes
119,2201 VERNE ROBERTS CIR,CA,ANTIOCH,94509-7911,38.00997,-121.832833,Yes
120,7251 CAMINO ARROYO,CA,GILROY,95020-7340,37.008691,-121.554466,Yes
121,1051 HUME WAY,CA,VACAVILLE,95687-5558,38.350395,-121.98133,Yes
122,2800 INDEPENDENCE DR,CA,LIVERMORE,94551-7628,37.7023,-121.81067,Yes
123,6898 RALEIGH ROAD,CA,SAN JOSE,95119-1730,37.243844,-121.785206,Yes
124,3150 FOSTORIA WAY,CA,DANVILLE,94526-5553,37.781597,-121.975034,Yes
125,2400 MONUMENT BLVD,CA,CONCORD,94520-3105,37.95949,-122.03451,Yes
126,2201 SENTER RD,CA,SAN JOSE,95112-2627,37.31125,-121.85128,Yes
127,1709 AUTOMATION PKWY,CA,SAN JOSE,95131-1866,37.38922,-121.88307,Yes
128,1339 N DAVIS RD,CA,SALINAS,93907-1988,36.703445,-121.666955,Yes
129,5301 ALMADEN EXPY,CA,SAN JOSE,95118-3603,37.25427,-121.87582,Yes
130,43621 PACIFIC COMMONS BLVD,CA,FREMONT,94538-3809,37.502499,-121.971421,Yes
131,1601 COLEMAN AVE,CA,SANTA CLARA,95050-3122,37.35771,-121.93725,Yes
132,198 PLAZA DR,CA,VALLEJO,94591-3702,38.131561,-122.215251,Yes
133,150 LAWRENCE STATION RD,CA,SUNNYVALE,94086-5309,37.372205,-121.995957,Yes
134,28505 HESPERIAN BLVD,CA,HAYWARD,94545-5008,37.617136,-122.08834,Yes
135,35875 WARM SPRINGS PARKWAY,CA,MURRIETA,92563,,,Yes
136,1900 DAVIS ST,CA,SAN LEANDRO,94577-1209,37.718203,-122.180726,Yes
137,1000 N RENGSTORFF AVE,CA,MOUNTAIN VIEW,94043-1716,37.41961,-122.09315,Yes
138,801 TIOGA AVE,CA,SAND CITY,93955-3050,36.616711,-121.846725,Yes
139,4801 CENTRAL AVENUE,CA,RICHMOND,94804-5801,37.898,-122.3206,Yes
140,220 SYLVANIA AVE,CA,SANTA CRUZ,95060-2161,36.985102,-122.03482,Yes
141,2300 MIDDLEFIELD RD,CA,REDWOOD CITY,94063-2854,37.4801,-122.21705,Yes
142,1001 METRO CENTER BLVD,CA,FOSTER CITY,94404-2177,37.5608,-122.27472,Yes
143,450 10TH ST,CA,SAN FRANCISCO,94103-4304,37.77099,-122.41052,Yes
144,900 DUBUQUE AVE,CA,SOUTH SAN FRANCISCO,94080-1805,37.66173,-122.40163,No
145,451 S AIRPORT BLVD,CA,SOUTH SAN FRANCISCO,94080-6909,37.641412,-122.402563,Yes
146,300 VINTAGE WAY,CA,NOVATO,94945-5007,38.086361,-122.551722,Yes
147,1600 EL CAMINO REAL,CA,SOUTH SAN FRANCISCO,94080-1206,37.66462,-122.44919,Yes
148,1900 SANTA ROSA AVE,CA,SANTA ROSA,95407-7621,38.42007,-122.71229,Yes
149,5901 REDWOOD DR,CA,ROHNERT PARK,94928-2076,38.352139,-122.715381,Yes
150,1275 AIRPORT PARK BLVD,CA,UKIAH,95482-7400,39.1272227,-123.1967938,Yes
151,1006 W WABASH AVE,CA,EUREKA,95501-2121,40.79244091,-124.1824341,Yes
152,18414 COTTONWOOD DR,CO,PARKER,80138-8876,39.55879,-104.776443,Yes
153,1471 S HAVANA ST,CO,AURORA,80012-4013,39.689939,-104.86595,Yes
154,5885 BARNES RD,CO,COLORADO SPRINGS,80922-3512,38.89349,-104.71827,Yes
155,8686 PARK MEADOWS CENTER DR,CO,LITTLETON,80124-5129,39.560636,-104.878905,Yes
156,5050 N NEVADA AVE,CO,COLORADO SPRINGS,80918-8602,38.90399,-104.81731,Yes
157,16375 N. WASHINGTON ST,CO,THORNTON,80023-8907,39.993433,-104.978226,Yes
158,4705 WEITZEL ST,CO,TIMNATH,80547-4703,40.520491,-104.989036,Yes
159,4000 RIVER POINT PKWY,CO,SHERIDAN,80110-3316,39.644394,-105.006393,Yes
160,6400 W 92ND AVE,CO,WESTMINSTER,80031-2952,39.863667,-105.066961,Yes
161,5195 WADSWORTH BLVD,CO,ARVADA,80002-4617,39.791059,-105.08147,Yes
162,7900 W QUINCY AVE,CO,LITTLETON,80123-1350,39.638706,-105.085093,Yes
163,600 MARSHALL RD,CO,SUPERIOR,80027-9730,39.95974,-105.17175,Yes
164,170 COOLEY MESA RD,CO,GYPSUM,81637-9707,39.643382,-106.888696,Yes
165,779 CONNECTICUT AVENUE,CT,NORWALK,06854-1615,41.092,-73.452,Yes
166,200 FEDERAL RD,CT,BROOKFIELD,06804-2514,41.44289,-73.40487,Yes
167,1718 BOSTON POST RD,CT,MILFORD,06460-2718,41.248982,-73.023517,Yes
168,3600 E MAIN ST,CT,WATERBURY,06705-3851,41.543019,-72.971329,Yes
169,405 HARTFORD RD,CT,NEW BRITAIN,06053-1507,41.70934,-72.76613,Yes
170,75 FRESHWATER BLVD,CT,ENFIELD,06082-3854,41.9935,-72.576,Yes
171,1220 TAMARACK AVE,CT,SOUTH WINDSOR,6074,41.8177274,-72.5566389,Yes
172,284 FLANDERS RD,CT,EAST LYME,06333-1710,41.359479,-72.212771,Yes
173,2441 MARKET ST NE,DC,WASHINGTON,20018-3840,38.920362,-76.950368,Yes
174,900 CENTER BLVD,DE,NEWARK,19702-3221,39.675369,-75.649492,Yes
175,4067 LAGNIAPPE WAY,FL,TALLAHASSEE,32317-1201,30.461111,-84.212508,Yes
176,8000 PARRAMORE RD,FL,JACKSONVILLE,32244-5704,30.202373,-81.756201,Yes
177,4901 GATE PKWY,FL,JACKSONVILLE,32246-4405,30.251534,-81.535932,Yes
178,2655 GULF TO BAY BLVD,FL,CLEARWATER,33759-4936,27.960478,-82.728188,Yes
179,8712 W LINEBAUGH AVE,FL,TAMPA,33625-3713,28.04428,-82.58091,Yes
180,2225 GRAND CYPRESS DR,FL,LUTZ,33559-6797,28.190995,-82.393039,Yes
181,10921 CAUSEWAY BLVD,FL,BRANDON,33511-1997,27.922973,-82.33153,Yes
182,741 ORANGE AVE,FL,ALTAMONTE SPRINGS,32714-3031,28.66183,-81.41494,Yes
183,4696 GARDENS PARK BLVD,FL,ORLANDO,32839-2171,28.496131,-81.4257567,Yes
184,3333 UNIVERSITY BLVD,FL,WINTER PARK,32792-7428,28.597438,-81.301466,Yes
185,805 LIGHTHOUSE DRIVE,FL,BRADENTON,34212,27.4959,-82.4713,Yes
186,215 WORLD COMMERCE PARKWAY,FL,ST. AUGUSTINE,32092,,,Yes
187,8201 S TAMIAMI TRL UNIT 501,FL,SARASOTA,34238-2966,27.23332,-82.49758,Yes
188,4305 PINEDA CAUSEWAY,FL,MELBOURNE,32940,28.18942,-80.719726,Yes
189,7171 CYPRESS LAKE DR,FL,FORT MYERS,33907-6521,26.546143,-81.87511,Yes
190,10088 GULF CENTER DR,FL,FORT MYERS,33913-8961,26.48857,-81.78635,Yes
191,6275 NAPLES BLVD,FL,NAPLES,34109-2030,26.219403,-81.772904,Yes
192,3250 NORTHLAKE BLVD,FL,PALM BEACH GARDENS,33403-1702,26.808339,-80.086924,Yes
193,11001 SOUTHERN BLVD,FL,ROYAL PALM BEACH,33411-4240,26.68102,-80.2195,Yes
194,1873 LANTANA RD,FL,LANTANA,33462-2601,26.587399,-80.071249,Yes
195,4621 CORAL RIDGE DR.,FL,CORAL SPRINGS,33076-2200,26.287747,-80.2824665,Yes
196,17800 CONGRESS AVE,FL,BOCA RATON,33487-1200,26.41213,-80.10209,Yes
197,1800 W SAMPLE RD,FL,POMPANO BEACH,33064-1324,26.274466,-80.148158,Yes
198,15915 PINES BLVD,FL,PEMBROKE PINES,33027-1201,26.00776,-80.361207,Yes
199,1890 S UNIVERSITY DR,FL,DAVIE,33324-5808,26.096724,-80.251043,Yes
200,16580 NW 59TH AVE,FL,MIAMI LAKES,33014-5611,25.919146,-80.297293,No
201,7795 WEST FLAGLER STREET,FL,MIAMI,33144-2359,25.774542,-80.321851,Yes
202,14800 SOLE MIA WAY,FL,NORTH MIAMI,33181,25.9137,-80.154222,Yes
203,13450 SW 120TH ST,FL,MIAMI,33186-7393,25.656335,-80.412516,Yes
204,100 COBB PKWY,GA,RINGGOLD,30736-8566,34.96726,-85.19344,Yes
205,1715 CHARLES HARDY PKWY,GA,DALLAS,30157,33.9204932,-84.7614352,Yes
206,113 LINCOLN ST,GA,WOODSTOCK,30188-7800,34.119874,-84.5157021,Yes
207,645 BARRETT PARKWAY NW,GA,KENNESAW,30144-4922,34.00476,-84.569131,Yes
208,2900 CUMBERLAND MALL SE,GA,ATLANTA,30339-8107,33.88075,-84.47206,Yes
209,5550 PARKWAY BLVD,GA,ATHENS,30606,,,Yes
210,2855 JORDAN CT,GA,ALPHARETTA,30004-3869,34.090796,-84.277026,Yes
211,6350 PEACHTREE DUNWOODY RD,GA,ATLANTA,30328-4568,33.928124,-84.35192,Yes
212,1211 BALD RIDGE MARINA RD,GA,CUMMING,30041-8484,34.2122,-84.116293,Yes
213,500 BROOKHAVEN AVE NE,GA,ATLANTA,30319-3291,33.87185,-84.33537,Yes
214,40 FISCHER CROSSINGS DR,GA,SHARPSBURG,30277,33.400461,-84.621576,Yes
215,3980 VENTURE DR,GA,DULUTH,30096-5077,33.94909,-84.143252,Yes
216,1550 MALL OF GEORGIA BLVD,GA,BUFORD,30519-6551,34.061632,-83.995033,Yes
217,1700 MOUNT ZION RD,GA,MORROW,30260-3014,33.57221,-84.332962,No
218,825 CABELA DR,GA,AUGUSTA,30909-8202,33.523611,-82.020329,Yes
219,200 MOSAIC CIRCLE,GA,POOLER,31322,32.0806428,-81.27739327,Yes
220,540 HALEAKALA HWY,HI,KAHULUI,96732-2302,20.88789,-156.450595,Yes
221,73-5600 MAIAU ST,HI,KAILUA KONA,96740-2630,19.68668,-156.01999,Yes
222,333 A KEAHOLE STREET,HI,HONOLULU,96825-3406,21.28413,-157.71037,Yes
223,525 ALAKAWA ST,HI,HONOLULU,96817-5764,21.3182,-157.8705,Yes
224,94-1231 KA UKA BLVD,HI,WAIPAHU,96797-4495,21.41951,-158.00574,Yes
225,4589 KAPOLEI PKWY,HI,KAPOLEI,96707-1879,21.327927,-158.08837,Yes
226,4300 NUHOU ST.,HI,LIHUE,96766-8002,21.967733,-159.382315,Yes
227,7205 MILLS CIVIC PKWY,IA,WEST DES MOINES,50266-8140,41.56148,-93.805176,Yes
228,2900 HEARTLAND DR,IA,CORALVILLE,52241-2740,41.69812,-91.61474,Yes
229,2790 E 53RD ST,IA,DAVENPORT,52807-3007,41.574795,-90.524329,Yes
230,4000 NE SPECTRUM DRIVE,IA,ANKENY,50021,,,Yes
231,2495 E. LINCOLN ROAD,ID,IDAHO FALLS,83401,43.511564,-111.984289,Yes
232,305 W QUINN RD,ID,POCATELLO,83201-4988,42.905853,-112.455124,Yes
233,731 POLE LINE RD,ID,TWIN FALLS,83301-3036,42.5929619,-114.4641176,Yes
234,2051 S COLE RD,ID,BOISE,83709-2815,43.584761,-116.27414,Yes
235,3403 W. CHINDEN BLVD,ID,MERIDIAN,83646,43.6610822,-116.4362837,Yes
236,16700 N MARKET PLACE BLVD,ID,NAMPA,83687-7909,43.61421,-116.591892,Yes
237,355 E NEIDER AVE,ID,COEUR D' ALENE,83815-3723,47.707993,-116.781828,Yes
238,301 W WASHINGTON ST,IL,EAST PEORIA,61611-2036,40.668718,-89.583786,Yes
239,5000 STADIUM DRIVE,IL,LOVES PARK,61111,42.32126,-88.961625,Yes
240,2002 N. NEIL ST,IL,CHAMPAIGN,61820,40.1405327,-88.2449229,Yes
241,221 S RANDALL RD,IL,SAINT CHARLES,60174-1524,41.90885,-88.339954,Yes
242,250 N RANDALL RD,IL,LAKE IN THE HILLS,60156-5943,42.179,-88.3383,Yes
243,1320 S ROUTE 59,IL,NAPERVILLE,60564-5944,41.727494,-88.206013,Yes
244,16261 S. BOULEVARD PLACE,IL,PLAINFIELD,60586,41.5888021,-88.1690002,Yes
245,1255 EAST OGDEN AVE,IL,NAPERVILLE,60563,41.79853024,-88.12367612,Yes
246,505 W ARMY TRAIL RD,IL,BLOOMINGDALE,60108-1391,41.939574,-88.129776,Yes
247,830 E BOUGHTON RD,IL,BOLINGBROOK,60440-2355,41.726343,-88.033104,Yes
248,680 S RAND RD,IL,LAKE ZURICH,60047-3409,42.184931,-88.092111,Yes
249,1375 N MEACHAM RD,IL,SCHAUMBURG,60173-4805,42.05506,-88.044993,Yes
250,1901 W 22ND ST,IL,OAK BROOK,60523-1759,41.846399,-87.962962,Yes
251,9915 W 159TH ST,IL,ORLAND PARK,60467-4572,41.601236,-87.8601,Yes
252,999 N ELMHURST RD,IL,MOUNT PROSPECT,60056-1133,42.083219,-87.93683,Yes
253,8400 W NORTH AVE,IL,MELROSE PARK,60160-1607,41.90837,-87.83499,Yes
254,2500 SOUTH HARLEM AVE,IL,NORTH RIVERSIDE,60546-1415,41.844613,-87.807113,Yes
255,25901 RIVERWOODS RD,IL,METTAWA,60045-3403,42.23641,-87.90391,Yes
256,7300 S CICERO AVE,IL,CHICAGO,60629-5817,41.76014,-87.74174,No
257,2900 PATRIOT BLVD,IL,GLENVIEW,60026-8046,42.10668,-87.82247,Yes
258,7311 N MELVINA AVE,IL,NILES,60714-3905,42.012081,-87.781808,Yes
259,1430 S ASHLAND AVE,IL,CHICAGO,60608-2040,41.862588,-87.666296,Yes
260,2746 N CLYBOURN AVE,IL,CHICAGO,60614-1006,41.931087,-87.676734,Yes
261,1310 E 79TH AVE,IN,MERRILLVILLE,46410-5768,41.473777,-87.321652,Yes
262,1201 CROSS POINTE PL,IN,EVANSVILLE,47715-9168,37.988621,-87.463817,Yes
263,8816 DR. CHARLES NELSON DRIVE,IN,AVON,46123,39.76470636,-86.36369775,Yes
264,9010 MICHIGAN RD,IN,INDIANAPOLIS,46268-3184,39.916011,-86.224994,Yes
265,625 E UNIVERSITY DR,IN,GRANGER,46530-7381,41.720402,-86.173155,Yes
266,4628 E COUNTY LINE RD,IN,INDIANAPOLIS,46237-9105,39.636234,-86.08947,Yes
267,6110 E 86TH ST,IN,INDIANAPOLIS,46250-3507,39.914227,-86.061607,Yes
268,5110 VALUE DR,IN,FORT WAYNE,46808-4048,41.125035,-85.155717,Yes
269,9700 E KELLOGG,KS,WICHITA,67207-1821,37.67975,-97.224893,Yes
270,9350 MARSHALL DR,KS,LENEXA,66215-3845,38.958687,-94.731243,Yes
271,12221 BLUE VALLEY PKWY,KS,OVERLAND PARK,66213-2640,38.9069,-94.670682,Yes
272,3408 BARDSTOWN RD,KY,LOUISVILLE,40218-4608,38.20496,-85.66621,Yes
273,5020 NORTON HEALTHCARE BLVD,KY,LOUISVILLE,40241-2835,38.31501,-85.57357,Yes
274,800 HEIGHTS BLVD,KY,FLORENCE,41042-1415,38.98771,-84.64699,Yes
275,1500 FITZGERALD CT,KY,LEXINGTON,40509-8307,38.025174,-84.40741,Yes
276,201 MEADOW FARM RD,LA,LAFAYETTE,70508-7277,30.155903,-92.042704,Yes
277,10000 DAWNADELE AVE BLDG A,LA,BATON ROUGE,70809-2591,30.419945,-91.07271,Yes
278,3900 DUBLIN ST,LA,NEW ORLEANS,70118-4754,29.96749,-90.11015,Yes
279,119 DAGGETT DR,MA,WEST SPRINGFIELD,01089-4672,42.132364,-72.621674,Yes
280,71 2ND AVE,MA,WALTHAM,02451-1107,42.396471,-71.264089,Yes
281,200 LEGACY BLVD,MA,DEDHAM,02026-2653,42.23103,-71.17493,No
282,2 MYSTIC VIEW RD,MA,EVERETT,02149-2428,42.401557,-71.070461,Yes
283,120 STOCKWELL DR,MA,AVON,02322-1149,42.134923,-71.067857,Yes
284,11 NEWBURY ST,MA,DANVERS,01923-1014,42.556821,-70.979108,Yes
285,10 MONOCACY BLVD,MD,FREDERICK,21704-7256,39.402357,-77.410548,Yes
286,880 RUSSELL AVE,MD,GAITHERSBURG,20879-3506,39.157055,-77.212713,Yes
287,11160 VEIRS MILL RD,MD,WHEATON,20902-2538,39.035686,-77.055739,Yes
288,10925 BALTIMORE AVE,MD,BELTSVILLE,20705-2117,39.033006,-76.910084,Yes
289,10270 MILL RUN CIRCLE,MD,OWINGS MILLS,21117,39.4042173,-76.7894242,Yes
290,6675 MARIE CURIE DR,MD,ELKRIDGE,21075-6457,39.186713,-76.795161,Yes
291,2400 FIVE LEES LN,MD,GLENARDEN,20706-1617,38.92234,-76.85096,Yes
